,當前價格,更新時間,H_1M,H_Date_1M,From_H_%_1M,L_1M,L_Date_1M,From_L_%_1M,Range_%_1M,H_3M,H_Date_3M,From_H_%_3M,L_3M,L_Date_3M,From_L_%_3M,Range_%_3M,H_6M,H_Date_6M,From_H_%_6M,L_6M,L_Date_6M,From_L_%_6M,Range_%_6M,H_1Y,H_Date_1Y,From_H_%_1Y,L_1Y,L_Date_1Y,From_L_%_1Y,Range_%_1Y,H_YTD,H_Date_YTD,From_H_%_YTD,L_YTD,L_Date_YTD,From_L_%_YTD,Range_%_YTD,H_3Y,H_Date_3Y,From_H_%_3Y,L_3Y,L_Date_3Y,From_L_%_3Y,Range_%_3Y
VT,157.63,2026-07-10,158.63,2026-06-15,-0.63,151.33,2026-06-10,4.16,4.82,158.84,2026-06-02,-0.76,143.65,2026-04-13,9.73,10.57,158.84,2026-06-02,-0.76,133.17,2026-03-30,18.37,19.27,158.84,2026-06-02,-0.76,125.59,2025-08-01,25.52,26.48,158.84,2026-06-02,-0.76,133.17,2026-03-30,18.37,19.27,158.84,2026-06-02,-0.76,84.13,2023-10-27,87.35,88.79
VOO,693.86,2026-07-10,694.33,2026-07-10,-0.07,664.07,2026-06-11,4.49,4.56,697.12,2026-06-02,-0.47,620.17,2026-04-13,11.88,12.41,697.12,2026-06-02,-0.47,576.78,2026-03-30,20.3,20.86,697.12,2026-06-02,-0.47,561.54,2025-07-16,23.56,24.14,697.12,2026-06-02,-0.47,576.78,2026-03-30,20.3,20.86,697.12,2026-06-02,-0.47,362.85,2023-10-27,91.23,92.12
VTI,372.69,2026-07-10,372.97,2026-07-10,-0.08,356.72,2026-06-11,4.48,4.55,373.63,2026-06-02,-0.25,332.68,2026-04-13,12.03,12.31,373.63,2026-06-02,-0.25,309.51,2026-03-30,20.41,20.72,373.63,2026-06-02,-0.25,300.49,2025-07-16,24.03,24.34,373.63,2026-06-02,-0.25,309.51,2026-03-30,20.41,20.72,373.63,2026-06-02,-0.25,195.33,2023-10-27,90.8,91.28
SOXX,581.34,2026-07-10,655.95,2026-06-22,-11.37,536.12,2026-07-07,8.43,22.35,655.95,2026-06-22,-11.37,382.49,2026-04-10,51.99,71.5,655.95,2026-06-22,-11.37,307.11,2026-03-30,89.29,113.59,655.95,2026-06-22,-11.37,231.25,2025-08-01,151.39,183.65,655.95,2026-06-22,-11.37,307.11,2026-03-30,89.29,113.59,655.95,2026-06-22,-11.37,142.06,2023-10-31,309.23,361.76
