,當前價格,更新時間,H_1M,H_Date_1M,From_H_%_1M,L_1M,L_Date_1M,From_L_%_1M,Range_%_1M,H_3M,H_Date_3M,From_H_%_3M,L_3M,L_Date_3M,From_L_%_3M,Range_%_3M,H_6M,H_Date_6M,From_H_%_6M,L_6M,L_Date_6M,From_L_%_6M,Range_%_6M,H_1Y,H_Date_1Y,From_H_%_1Y,L_1Y,L_Date_1Y,From_L_%_1Y,Range_%_1Y,H_YTD,H_Date_YTD,From_H_%_YTD,L_YTD,L_Date_YTD,From_L_%_YTD,Range_%_YTD,H_3Y,H_Date_3Y,From_H_%_3Y,L_3Y,L_Date_3Y,From_L_%_3Y,Range_%_3Y
VT,162.25,2026-08-14,162.71,2026-08-14,-0.28,152.13,2026-07-29,6.65,6.95,162.71,2026-08-14,-0.28,150.66,2026-06-09,7.7,8.0,162.71,2026-08-14,-0.28,133.17,2026-03-30,21.84,22.18,162.71,2026-08-14,-0.28,129.59,2025-08-20,25.21,25.56,162.71,2026-08-14,-0.28,133.17,2026-03-30,21.84,22.18,162.71,2026-08-14,-0.28,84.13,2023-10-27,92.85,93.39
VOO,713.61,2026-08-14,716.39,2026-08-13,-0.39,670.16,2026-07-29,6.48,6.9,716.39,2026-08-13,-0.39,662.39,2026-06-09,7.73,8.15,716.39,2026-08-13,-0.39,576.78,2026-03-30,23.72,24.2,716.39,2026-08-13,-0.39,575.06,2025-08-20,24.09,24.58,716.39,2026-08-13,-0.39,576.78,2026-03-30,23.72,24.2,716.39,2026-08-13,-0.39,362.85,2023-10-27,96.67,97.43
VTI,383.85,2026-08-14,385.12,2026-08-13,-0.33,360.2,2026-07-29,6.57,6.92,385.12,2026-08-13,-0.33,355.26,2026-06-09,8.05,8.41,385.12,2026-08-13,-0.33,309.51,2026-03-30,24.02,24.43,385.12,2026-08-13,-0.33,307.65,2025-08-20,24.77,25.18,385.12,2026-08-13,-0.33,309.51,2026-03-30,24.02,24.43,385.12,2026-08-13,-0.33,195.33,2023-10-27,96.51,97.16
SOXX,550.42,2026-08-14,562.25,2026-08-13,-2.1,464.08,2026-07-29,18.6,21.15,655.95,2026-06-22,-16.09,464.08,2026-07-29,18.6,41.34,655.95,2026-06-22,-16.09,307.11,2026-03-30,79.22,113.59,655.95,2026-06-22,-16.09,236.0,2025-08-20,133.23,177.95,655.95,2026-06-22,-16.09,307.11,2026-03-30,79.22,113.59,655.95,2026-06-22,-16.09,142.06,2023-10-31,287.47,361.76
