,當前價格,更新時間,H_1M,H_Date_1M,From_H_%_1M,L_1M,L_Date_1M,From_L_%_1M,Range_%_1M,H_3M,H_Date_3M,From_H_%_3M,L_3M,L_Date_3M,From_L_%_3M,Range_%_3M,H_6M,H_Date_6M,From_H_%_6M,L_6M,L_Date_6M,From_L_%_6M,Range_%_6M,H_1Y,H_Date_1Y,From_H_%_1Y,L_1Y,L_Date_1Y,From_L_%_1Y,Range_%_1Y,H_YTD,H_Date_YTD,From_H_%_YTD,L_YTD,L_Date_YTD,From_L_%_YTD,Range_%_YTD,H_3Y,H_Date_3Y,From_H_%_3Y,L_3Y,L_Date_3Y,From_L_%_3Y,Range_%_3Y
VT,153.52,2026-05-15,156.42,2026-05-14,-1.85,147.7,2026-04-23,3.94,5.9,156.42,2026-05-14,-1.85,133.65,2026-03-30,14.87,17.04,156.42,2026-05-14,-1.85,133.1,2025-11-21,15.34,17.52,156.42,2026-05-14,-1.85,118.77,2025-05-23,29.25,31.7,156.42,2026-05-14,-1.85,133.65,2026-03-30,14.87,17.04,156.42,2026-05-14,-1.85,84.44,2023-10-27,81.81,85.25
VOO,679.44,2026-05-15,689.1,2026-05-14,-1.4,645.66,2026-04-23,5.23,6.73,689.1,2026-05-14,-1.4,578.46,2026-03-30,17.46,19.13,689.1,2026-05-14,-1.4,578.46,2026-03-30,17.46,19.13,689.1,2026-05-14,-1.4,522.84,2025-05-23,29.95,31.8,689.1,2026-05-14,-1.4,578.46,2026-03-30,17.46,19.13,689.1,2026-05-14,-1.4,361.7,2023-05-24,87.85,90.52
VTI,362.74,2026-05-15,368.25,2026-05-14,-1.5,346.55,2026-04-23,4.67,6.26,368.25,2026-05-14,-1.5,310.4,2026-03-30,16.86,18.64,368.25,2026-05-14,-1.5,310.4,2026-03-30,16.86,18.64,368.25,2026-05-14,-1.5,279.69,2025-05-23,29.69,31.66,368.25,2026-05-14,-1.5,310.4,2026-03-30,16.86,18.64,368.25,2026-05-14,-1.5,195.63,2023-05-24,85.42,88.23
SOXX,508.52,2026-05-15,533.74,2026-05-11,-4.73,409.58,2026-04-17,24.16,30.31,533.74,2026-05-11,-4.73,307.26,2026-03-30,65.5,73.71,533.74,2026-05-11,-4.73,259.9,2025-11-21,95.66,105.36,533.74,2026-05-11,-4.73,198.66,2025-05-23,155.97,168.67,533.74,2026-05-11,-4.73,307.26,2026-03-30,65.5,73.71,533.74,2026-05-11,-4.73,139.2,2023-05-24,265.32,283.44
