,當前價格,更新時間,H_1M,H_Date_1M,From_H_%_1M,L_1M,L_Date_1M,From_L_%_1M,Range_%_1M,H_3M,H_Date_3M,From_H_%_3M,L_3M,L_Date_3M,From_L_%_3M,Range_%_3M,H_6M,H_Date_6M,From_H_%_6M,L_6M,L_Date_6M,From_L_%_6M,Range_%_6M,H_1Y,H_Date_1Y,From_H_%_1Y,L_1Y,L_Date_1Y,From_L_%_1Y,Range_%_1Y,H_YTD,H_Date_YTD,From_H_%_YTD,L_YTD,L_Date_YTD,From_L_%_YTD,Range_%_YTD,H_3Y,H_Date_3Y,From_H_%_3Y,L_3Y,L_Date_3Y,From_L_%_3Y,Range_%_3Y
VT,155.32,2026-05-11,155.63,2026-05-11,-0.2,144.17,2026-04-13,7.73,7.95,155.63,2026-05-11,-0.2,133.65,2026-03-30,16.21,16.45,155.63,2026-05-11,-0.2,133.1,2025-11-21,16.69,16.93,155.63,2026-05-11,-0.2,116.35,2025-05-09,33.49,33.76,155.63,2026-05-11,-0.2,133.65,2026-03-30,16.21,16.45,155.63,2026-05-11,-0.2,84.44,2023-10-27,83.94,84.31
VOO,679.52,2026-05-11,681.06,2026-05-11,-0.23,621.98,2026-04-13,9.25,9.5,681.06,2026-05-11,-0.23,578.46,2026-03-30,17.47,17.74,681.06,2026-05-11,-0.23,578.46,2026-03-30,17.47,17.74,681.06,2026-05-11,-0.23,511.23,2025-05-09,32.92,33.22,681.06,2026-05-11,-0.23,578.46,2026-03-30,17.47,17.74,681.06,2026-05-11,-0.23,361.7,2023-05-24,87.87,88.29
VTI,363.63,2026-05-11,364.48,2026-05-11,-0.23,333.64,2026-04-13,8.99,9.24,364.48,2026-05-11,-0.23,310.4,2026-03-30,17.15,17.42,364.48,2026-05-11,-0.23,310.4,2026-03-30,17.15,17.42,364.48,2026-05-11,-0.23,274.01,2025-05-09,32.71,33.02,364.48,2026-05-11,-0.23,310.4,2026-03-30,17.15,17.42,364.48,2026-05-11,-0.23,195.42,2023-05-16,86.07,86.51
SOXX,532.76,2026-05-11,533.74,2026-05-11,-0.18,384.37,2026-04-13,38.61,38.86,533.74,2026-05-11,-0.18,307.26,2026-03-30,73.39,73.71,533.74,2026-05-11,-0.18,259.9,2025-11-21,104.99,105.36,533.74,2026-05-11,-0.18,191.06,2025-05-09,178.85,179.36,533.74,2026-05-11,-0.18,307.26,2026-03-30,73.39,73.71,533.74,2026-05-11,-0.18,134.05,2023-05-15,297.45,298.18
