,當前價格,更新時間,H_1M,H_Date_1M,From_H_%_1M,L_1M,L_Date_1M,From_L_%_1M,Range_%_1M,H_3M,H_Date_3M,From_H_%_3M,L_3M,L_Date_3M,From_L_%_3M,Range_%_3M,H_6M,H_Date_6M,From_H_%_6M,L_6M,L_Date_6M,From_L_%_6M,Range_%_6M,H_1Y,H_Date_1Y,From_H_%_1Y,L_1Y,L_Date_1Y,From_L_%_1Y,Range_%_1Y,H_YTD,H_Date_YTD,From_H_%_YTD,L_YTD,L_Date_YTD,From_L_%_YTD,Range_%_YTD,H_3Y,H_Date_3Y,From_H_%_3Y,L_3Y,L_Date_3Y,From_L_%_3Y,Range_%_3Y
VT,157.41,2026-09-16,162.2,2026-08-28,-2.95,156.48,2026-09-16,0.59,3.66,162.71,2026-08-14,-3.26,152.13,2026-07-29,3.47,6.95,162.71,2026-08-14,-3.26,133.17,2026-03-30,18.2,22.18,162.71,2026-08-14,-3.26,132.62,2025-11-21,18.69,22.69,162.71,2026-08-14,-3.26,133.17,2026-03-30,18.2,22.18,162.71,2026-08-14,-3.26,84.13,2023-10-27,87.09,93.39
VOO,693.24,2026-09-16,712.67,2026-08-28,-2.73,689.04,2026-09-16,0.61,3.43,716.39,2026-08-13,-3.23,668.1,2026-06-26,3.76,7.23,716.39,2026-08-13,-3.23,576.78,2026-03-30,20.19,24.2,716.39,2026-08-13,-3.23,576.78,2026-03-30,20.19,24.2,716.39,2026-08-13,-3.23,576.78,2026-03-30,20.19,24.2,716.39,2026-08-13,-3.23,362.85,2023-10-27,91.05,97.43
VTI,371.26,2026-09-16,382.25,2026-08-28,-2.88,368.93,2026-09-16,0.63,3.61,385.12,2026-08-13,-3.6,359.95,2026-06-26,3.14,6.99,385.12,2026-08-13,-3.6,309.51,2026-03-30,19.95,24.43,385.12,2026-08-13,-3.6,309.51,2026-03-30,19.95,24.43,385.12,2026-08-13,-3.6,309.51,2026-03-30,19.95,24.43,385.12,2026-08-13,-3.6,195.33,2023-10-27,90.07,97.16
SOXX,502.06,2026-09-16,541.35,2026-08-18,-7.26,488.89,2026-09-03,2.69,10.73,655.52,2026-06-22,-23.41,463.78,2026-07-29,8.25,41.34,655.52,2026-06-22,-23.41,306.91,2026-03-30,63.58,113.59,655.52,2026-06-22,-23.41,254.01,2025-09-17,97.65,158.07,655.52,2026-06-22,-23.41,306.91,2026-03-30,63.58,113.59,655.52,2026-06-22,-23.41,141.96,2023-10-31,253.66,361.76
