,當前價格,更新時間,H_1M,H_Date_1M,From_H_%_1M,L_1M,L_Date_1M,From_L_%_1M,Range_%_1M,H_3M,H_Date_3M,From_H_%_3M,L_3M,L_Date_3M,From_L_%_3M,Range_%_3M,H_6M,H_Date_6M,From_H_%_6M,L_6M,L_Date_6M,From_L_%_6M,Range_%_6M,H_1Y,H_Date_1Y,From_H_%_1Y,L_1Y,L_Date_1Y,From_L_%_1Y,Range_%_1Y,H_YTD,H_Date_YTD,From_H_%_YTD,L_YTD,L_Date_YTD,From_L_%_YTD,Range_%_YTD,H_3Y,H_Date_3Y,From_H_%_3Y,L_3Y,L_Date_3Y,From_L_%_3Y,Range_%_3Y
VT,160.1,2026-08-24,162.71,2026-08-14,-1.6,152.13,2026-07-29,5.24,6.95,162.71,2026-08-14,-1.6,150.66,2026-06-09,6.27,8.0,162.71,2026-08-14,-1.6,133.17,2026-03-30,20.22,22.18,162.71,2026-08-14,-1.6,129.62,2025-09-02,23.52,25.53,162.71,2026-08-14,-1.6,133.17,2026-03-30,20.22,22.18,162.71,2026-08-14,-1.6,84.13,2023-10-27,90.29,93.39
VOO,701.83,2026-08-24,716.39,2026-08-13,-2.03,670.16,2026-07-29,4.73,6.9,716.39,2026-08-13,-2.03,662.39,2026-06-09,5.95,8.15,716.39,2026-08-13,-2.03,576.78,2026-03-30,21.68,24.2,716.39,2026-08-13,-2.03,576.78,2026-03-30,21.68,24.2,716.39,2026-08-13,-2.03,576.78,2026-03-30,21.68,24.2,716.39,2026-08-13,-2.03,362.85,2023-10-27,93.42,97.43
VTI,377.07,2026-08-24,385.12,2026-08-13,-2.09,360.2,2026-07-29,4.68,6.92,385.12,2026-08-13,-2.09,355.26,2026-06-09,6.14,8.41,385.12,2026-08-13,-2.09,309.51,2026-03-30,21.83,24.43,385.12,2026-08-13,-2.09,309.51,2026-03-30,21.83,24.43,385.12,2026-08-13,-2.09,309.51,2026-03-30,21.83,24.43,385.12,2026-08-13,-2.09,195.33,2023-10-27,93.04,97.16
SOXX,506.18,2026-08-24,566.02,2026-08-17,-10.57,464.08,2026-07-29,9.07,21.97,655.95,2026-06-22,-22.83,464.08,2026-07-29,9.07,41.34,655.95,2026-06-22,-22.83,307.11,2026-03-30,64.82,113.59,655.95,2026-06-22,-22.83,237.04,2025-09-02,113.54,176.72,655.95,2026-06-22,-22.83,307.11,2026-03-30,64.82,113.59,655.95,2026-06-22,-22.83,142.06,2023-10-31,256.33,361.76
