,當前價格,更新時間,H_1M,H_Date_1M,From_H_%_1M,L_1M,L_Date_1M,From_L_%_1M,Range_%_1M,H_3M,H_Date_3M,From_H_%_3M,L_3M,L_Date_3M,From_L_%_3M,Range_%_3M,H_6M,H_Date_6M,From_H_%_6M,L_6M,L_Date_6M,From_L_%_6M,Range_%_6M,H_1Y,H_Date_1Y,From_H_%_1Y,L_1Y,L_Date_1Y,From_L_%_1Y,Range_%_1Y,H_YTD,H_Date_YTD,From_H_%_YTD,L_YTD,L_Date_YTD,From_L_%_YTD,Range_%_YTD,H_3Y,H_Date_3Y,From_H_%_3Y,L_3Y,L_Date_3Y,From_L_%_3Y,Range_%_3Y
VT,161.76,2026-09-03,162.71,2026-08-14,-0.58,158.91,2026-09-01,1.79,2.39,162.71,2026-08-14,-0.58,150.66,2026-06-09,7.37,8.0,162.71,2026-08-14,-0.58,133.17,2026-03-30,21.47,22.18,162.71,2026-08-14,-0.58,130.91,2025-09-04,23.56,24.29,162.71,2026-08-14,-0.58,133.17,2026-03-30,21.47,22.18,162.71,2026-08-14,-0.58,84.13,2023-10-27,92.26,93.39
VOO,710.72,2026-09-03,716.39,2026-08-13,-0.79,698.14,2026-09-01,1.8,2.61,716.39,2026-08-13,-0.79,662.39,2026-06-09,7.3,8.15,716.39,2026-08-13,-0.79,576.78,2026-03-30,23.22,24.2,716.39,2026-08-13,-0.79,576.78,2026-03-30,23.22,24.2,716.39,2026-08-13,-0.79,576.78,2026-03-30,23.22,24.2,716.39,2026-08-13,-0.79,362.85,2023-10-27,95.87,97.43
VTI,380.93,2026-09-03,385.12,2026-08-13,-1.09,374.15,2026-09-01,1.81,2.93,385.12,2026-08-13,-1.09,355.26,2026-06-09,7.23,8.41,385.12,2026-08-13,-1.09,309.51,2026-03-30,23.08,24.43,385.12,2026-08-13,-1.09,309.51,2026-03-30,23.08,24.43,385.12,2026-08-13,-1.09,309.51,2026-03-30,23.08,24.43,385.12,2026-08-13,-1.09,195.33,2023-10-27,95.02,97.16
SOXX,502.2,2026-09-03,566.02,2026-08-17,-11.28,489.21,2026-09-03,2.66,15.7,655.95,2026-06-22,-23.44,464.08,2026-07-29,8.21,41.34,655.95,2026-06-22,-23.44,307.11,2026-03-30,63.52,113.59,655.95,2026-06-22,-23.44,237.64,2025-09-04,111.33,176.03,655.95,2026-06-22,-23.44,307.11,2026-03-30,63.52,113.59,655.95,2026-06-22,-23.44,142.06,2023-10-31,253.52,361.76
