,當前價格,更新時間,H_1M,H_Date_1M,From_H_%_1M,L_1M,L_Date_1M,From_L_%_1M,Range_%_1M,H_3M,H_Date_3M,From_H_%_3M,L_3M,L_Date_3M,From_L_%_3M,Range_%_3M,H_6M,H_Date_6M,From_H_%_6M,L_6M,L_Date_6M,From_L_%_6M,Range_%_6M,H_1Y,H_Date_1Y,From_H_%_1Y,L_1Y,L_Date_1Y,From_L_%_1Y,Range_%_1Y,H_YTD,H_Date_YTD,From_H_%_YTD,L_YTD,L_Date_YTD,From_L_%_YTD,Range_%_YTD,H_3Y,H_Date_3Y,From_H_%_3Y,L_3Y,L_Date_3Y,From_L_%_3Y,Range_%_3Y
VT,156.02,2026-05-14,156.42,2026-05-14,-0.26,147.7,2026-04-23,5.63,5.9,156.42,2026-05-14,-0.26,133.65,2026-03-30,16.74,17.04,156.42,2026-05-14,-0.26,133.1,2025-11-21,17.22,17.52,156.42,2026-05-14,-0.26,118.77,2025-05-23,31.36,31.7,156.42,2026-05-14,-0.26,133.65,2026-03-30,16.74,17.04,156.42,2026-05-14,-0.26,84.44,2023-10-27,84.77,85.25
VOO,687.73,2026-05-14,689.1,2026-05-14,-0.2,642.15,2026-04-16,7.1,7.31,689.1,2026-05-14,-0.2,578.46,2026-03-30,18.89,19.13,689.1,2026-05-14,-0.2,578.46,2026-03-30,18.89,19.13,689.1,2026-05-14,-0.2,522.84,2025-05-23,31.54,31.8,689.1,2026-05-14,-0.2,578.46,2026-03-30,18.89,19.13,689.1,2026-05-14,-0.2,361.7,2023-05-24,90.14,90.52
VTI,367.4,2026-05-14,368.25,2026-05-14,-0.23,344.56,2026-04-16,6.63,6.88,368.25,2026-05-14,-0.23,310.4,2026-03-30,18.36,18.64,368.25,2026-05-14,-0.23,310.4,2026-03-30,18.36,18.64,368.25,2026-05-14,-0.23,279.69,2025-05-23,31.36,31.66,368.25,2026-05-14,-0.23,310.4,2026-03-30,18.36,18.64,368.25,2026-05-14,-0.23,195.42,2023-05-16,88.0,88.44
SOXX,530.03,2026-05-14,533.74,2026-05-11,-0.7,397.99,2026-04-16,33.18,34.11,533.74,2026-05-11,-0.7,307.26,2026-03-30,72.5,73.71,533.74,2026-05-11,-0.7,259.9,2025-11-21,103.94,105.36,533.74,2026-05-11,-0.7,198.66,2025-05-23,166.8,168.67,533.74,2026-05-11,-0.7,307.26,2026-03-30,72.5,73.71,533.74,2026-05-11,-0.7,137.25,2023-05-16,286.17,288.88
