,當前價格,更新時間,H_1M,H_Date_1M,From_H_%_1M,L_1M,L_Date_1M,From_L_%_1M,Range_%_1M,H_3M,H_Date_3M,From_H_%_3M,L_3M,L_Date_3M,From_L_%_3M,Range_%_3M,H_6M,H_Date_6M,From_H_%_6M,L_6M,L_Date_6M,From_L_%_6M,Range_%_6M,H_1Y,H_Date_1Y,From_H_%_1Y,L_1Y,L_Date_1Y,From_L_%_1Y,Range_%_1Y,H_YTD,H_Date_YTD,From_H_%_YTD,L_YTD,L_Date_YTD,From_L_%_YTD,Range_%_YTD,H_3Y,H_Date_3Y,From_H_%_3Y,L_3Y,L_Date_3Y,From_L_%_3Y,Range_%_3Y
VT,159.92,2026-08-06,162.0,2026-08-05,-1.28,152.13,2026-07-29,5.12,6.49,162.0,2026-08-05,-1.28,150.66,2026-06-09,6.15,7.53,162.0,2026-08-05,-1.28,133.17,2026-03-30,20.09,21.65,162.0,2026-08-05,-1.28,127.82,2025-08-06,25.12,26.74,162.0,2026-08-05,-1.28,133.17,2026-03-30,20.09,21.65,162.0,2026-08-05,-1.28,84.13,2023-10-27,90.08,92.55
VOO,706.4,2026-08-06,714.16,2026-08-05,-1.09,670.16,2026-07-29,5.41,6.57,714.16,2026-08-05,-1.09,662.39,2026-06-09,6.64,7.82,714.16,2026-08-05,-1.09,576.78,2026-03-30,22.47,23.82,714.16,2026-08-05,-1.09,570.67,2025-08-06,23.78,25.14,714.16,2026-08-05,-1.09,576.78,2026-03-30,22.47,23.82,714.16,2026-08-05,-1.09,362.85,2023-10-27,94.68,96.82
VTI,379.07,2026-08-06,383.29,2026-08-05,-1.1,360.2,2026-07-29,5.24,6.41,383.29,2026-08-05,-1.1,355.26,2026-06-09,6.7,7.89,383.29,2026-08-05,-1.1,309.51,2026-03-30,22.47,23.84,383.29,2026-08-05,-1.1,305.48,2025-08-06,24.09,25.47,383.29,2026-08-05,-1.1,309.51,2026-03-30,22.47,23.84,383.29,2026-08-05,-1.1,195.33,2023-10-27,94.07,96.23
SOXX,532.52,2026-08-06,594.99,2026-07-09,-10.5,464.08,2026-07-29,14.75,28.21,655.95,2026-06-22,-18.82,464.08,2026-07-29,14.75,41.34,655.95,2026-06-22,-18.82,307.11,2026-03-30,73.39,113.59,655.95,2026-06-22,-18.82,232.58,2025-08-06,128.96,182.03,655.95,2026-06-22,-18.82,307.11,2026-03-30,73.39,113.59,655.95,2026-06-22,-18.82,142.06,2023-10-31,274.87,361.76
