,當前價格,更新時間,H_1M,H_Date_1M,From_H_%_1M,L_1M,L_Date_1M,From_L_%_1M,Range_%_1M,H_3M,H_Date_3M,From_H_%_3M,L_3M,L_Date_3M,From_L_%_3M,Range_%_3M,H_6M,H_Date_6M,From_H_%_6M,L_6M,L_Date_6M,From_L_%_6M,Range_%_6M,H_1Y,H_Date_1Y,From_H_%_1Y,L_1Y,L_Date_1Y,From_L_%_1Y,Range_%_1Y,H_YTD,H_Date_YTD,From_H_%_YTD,L_YTD,L_Date_YTD,From_L_%_YTD,Range_%_YTD,H_3Y,H_Date_3Y,From_H_%_3Y,L_3Y,L_Date_3Y,From_L_%_3Y,Range_%_3Y
VT,140.95,2026-03-09,149.07,2026-02-26,-5.45,139.35,2026-03-09,1.14,6.98,149.07,2026-02-26,-5.45,138.22,2025-12-17,1.97,7.85,149.07,2026-02-26,-5.45,133.17,2025-09-08,5.84,11.94,149.07,2026-02-26,-5.45,99.27,2025-04-07,41.99,50.17,149.07,2026-02-26,-5.45,139.35,2026-03-09,1.14,6.98,149.07,2026-02-26,-5.45,81.0,2023-03-15,74.02,84.05
VOO,615.17,2026-03-09,641.15,2026-02-11,-4.05,609.22,2026-03-09,0.98,5.24,641.81,2026-01-28,-4.15,609.22,2026-03-09,0.98,5.35,641.81,2026-01-28,-4.15,591.64,2025-09-09,3.98,8.48,641.81,2026-01-28,-4.15,438.94,2025-04-07,40.15,46.22,641.81,2026-01-28,-4.15,609.22,2026-03-09,0.98,5.35,641.81,2026-01-28,-4.15,335.63,2023-03-13,83.29,91.23
VTI,329.45,2026-03-09,344.3,2026-02-11,-4.31,326.13,2026-03-09,1.02,5.57,344.42,2026-01-28,-4.34,326.13,2026-03-09,1.02,5.61,344.42,2026-01-28,-4.34,317.66,2025-09-09,3.71,8.42,344.42,2026-01-28,-4.34,234.39,2025-04-07,40.56,46.94,344.42,2026-01-28,-4.34,326.13,2026-03-09,1.02,5.61,344.42,2026-01-28,-4.34,182.5,2023-03-13,80.53,88.73
