,當前價格,更新時間,H_1M,H_Date_1M,From_H_%_1M,L_1M,L_Date_1M,From_L_%_1M,Range_%_1M,H_3M,H_Date_3M,From_H_%_3M,L_3M,L_Date_3M,From_L_%_3M,Range_%_3M,H_6M,H_Date_6M,From_H_%_6M,L_6M,L_Date_6M,From_L_%_6M,Range_%_6M,H_1Y,H_Date_1Y,From_H_%_1Y,L_1Y,L_Date_1Y,From_L_%_1Y,Range_%_1Y,H_YTD,H_Date_YTD,From_H_%_YTD,L_YTD,L_Date_YTD,From_L_%_YTD,Range_%_YTD,H_3Y,H_Date_3Y,From_H_%_3Y,L_3Y,L_Date_3Y,From_L_%_3Y,Range_%_3Y
VT,160.55,2026-08-31,162.71,2026-08-14,-1.33,154.25,2026-07-31,4.08,5.48,162.71,2026-08-14,-1.33,150.66,2026-06-09,6.57,8.0,162.71,2026-08-14,-1.33,133.17,2026-03-30,20.56,22.18,162.71,2026-08-14,-1.33,129.62,2025-09-02,23.87,25.53,162.71,2026-08-14,-1.33,133.17,2026-03-30,20.56,22.18,162.71,2026-08-14,-1.33,84.13,2023-10-27,90.83,93.39
VOO,704.89,2026-08-31,716.39,2026-08-13,-1.61,688.61,2026-08-03,2.36,4.03,716.39,2026-08-13,-1.61,662.39,2026-06-09,6.42,8.15,716.39,2026-08-13,-1.61,576.78,2026-03-30,22.21,24.2,716.39,2026-08-13,-1.61,576.78,2026-03-30,22.21,24.2,716.39,2026-08-13,-1.61,576.78,2026-03-30,22.21,24.2,716.39,2026-08-13,-1.61,362.85,2023-10-27,94.27,97.43
VTI,378.15,2026-08-31,385.12,2026-08-13,-1.81,363.95,2026-07-31,3.9,5.82,385.12,2026-08-13,-1.81,355.26,2026-06-09,6.44,8.41,385.12,2026-08-13,-1.81,309.51,2026-03-30,22.18,24.43,385.12,2026-08-13,-1.81,309.51,2026-03-30,22.18,24.43,385.12,2026-08-13,-1.81,309.51,2026-03-30,22.18,24.43,385.12,2026-08-13,-1.81,195.33,2023-10-27,93.6,97.16
SOXX,511.04,2026-08-31,566.02,2026-08-17,-9.71,485.71,2026-08-03,5.22,16.53,655.95,2026-06-22,-22.09,464.08,2026-07-29,10.12,41.34,655.95,2026-06-22,-22.09,307.11,2026-03-30,66.4,113.59,655.95,2026-06-22,-22.09,237.04,2025-09-02,115.59,176.72,655.95,2026-06-22,-22.09,307.11,2026-03-30,66.4,113.59,655.95,2026-06-22,-22.09,142.06,2023-10-31,259.75,361.76
