,當前價格,更新時間,H_1M,H_Date_1M,From_H_%_1M,L_1M,L_Date_1M,From_L_%_1M,Range_%_1M,H_3M,H_Date_3M,From_H_%_3M,L_3M,L_Date_3M,From_L_%_3M,Range_%_3M,H_6M,H_Date_6M,From_H_%_6M,L_6M,L_Date_6M,From_L_%_6M,Range_%_6M,H_1Y,H_Date_1Y,From_H_%_1Y,L_1Y,L_Date_1Y,From_L_%_1Y,Range_%_1Y,H_YTD,H_Date_YTD,From_H_%_YTD,L_YTD,L_Date_YTD,From_L_%_YTD,Range_%_YTD,H_3Y,H_Date_3Y,From_H_%_3Y,L_3Y,L_Date_3Y,From_L_%_3Y,Range_%_3Y
VT,159.33,2026-09-23,161.78,2026-08-28,-1.52,156.08,2026-09-16,2.08,3.66,162.29,2026-08-14,-1.83,151.74,2026-07-29,5.0,6.95,162.29,2026-08-14,-1.83,132.83,2026-03-30,19.95,22.18,162.29,2026-08-14,-1.83,132.28,2025-11-21,20.45,22.69,162.29,2026-08-14,-1.83,132.83,2026-03-30,19.95,22.18,162.29,2026-08-14,-1.83,83.92,2023-10-27,89.86,93.39
VOO,707.6,2026-09-23,714.08,2026-09-21,-0.91,689.04,2026-09-16,2.69,3.63,716.39,2026-08-13,-1.23,668.1,2026-06-26,5.91,7.23,716.39,2026-08-13,-1.23,576.78,2026-03-30,22.68,24.2,716.39,2026-08-13,-1.23,576.78,2026-03-30,22.68,24.2,716.39,2026-08-13,-1.23,576.78,2026-03-30,22.68,24.2,716.39,2026-08-13,-1.23,362.85,2023-10-27,95.01,97.43
VTI,378.23,2026-09-23,382.25,2026-08-28,-1.05,368.93,2026-09-16,2.52,3.61,385.12,2026-08-13,-1.79,359.95,2026-06-26,5.08,6.99,385.12,2026-08-13,-1.79,309.51,2026-03-30,22.2,24.43,385.12,2026-08-13,-1.79,309.51,2026-03-30,22.2,24.43,385.12,2026-08-13,-1.79,309.51,2026-03-30,22.2,24.43,385.12,2026-08-13,-1.79,195.33,2023-10-27,93.64,97.16
SOXX,565.72,2026-09-23,573.52,2026-09-22,-1.36,488.89,2026-09-03,15.72,17.31,644.52,2026-06-30,-12.23,463.78,2026-07-29,21.98,38.97,655.52,2026-06-22,-13.7,306.91,2026-03-30,84.33,113.59,655.52,2026-06-22,-13.7,259.61,2025-11-21,117.92,152.51,655.52,2026-06-22,-13.7,306.91,2026-03-30,84.33,113.59,655.52,2026-06-22,-13.7,141.96,2023-10-31,298.5,361.76
