,當前價格,更新時間,H_1M,H_Date_1M,From_H_%_1M,L_1M,L_Date_1M,From_L_%_1M,Range_%_1M,H_3M,H_Date_3M,From_H_%_3M,L_3M,L_Date_3M,From_L_%_3M,Range_%_3M,H_6M,H_Date_6M,From_H_%_6M,L_6M,L_Date_6M,From_L_%_6M,Range_%_6M,H_1Y,H_Date_1Y,From_H_%_1Y,L_1Y,L_Date_1Y,From_L_%_1Y,Range_%_1Y,H_YTD,H_Date_YTD,From_H_%_YTD,L_YTD,L_Date_YTD,From_L_%_YTD,Range_%_YTD,H_3Y,H_Date_3Y,From_H_%_3Y,L_3Y,L_Date_3Y,From_L_%_3Y,Range_%_3Y
VT,150.34,2026-04-24,151.44,2026-04-17,-0.73,133.65,2026-03-30,12.49,13.31,151.44,2026-04-17,-0.73,133.65,2026-03-30,12.49,13.31,151.44,2026-04-17,-0.73,133.1,2025-11-21,12.95,13.78,151.44,2026-04-17,-0.73,111.18,2025-04-24,35.23,36.22,151.44,2026-04-17,-0.73,133.65,2026-03-30,12.49,13.31,151.44,2026-04-17,-0.73,84.44,2023-10-27,78.05,79.35
VOO,656.42,2026-04-24,656.82,2026-04-24,-0.06,578.46,2026-03-30,13.48,13.55,656.82,2026-04-24,-0.06,578.46,2026-03-30,13.48,13.55,656.82,2026-04-24,-0.06,578.46,2026-03-30,13.48,13.55,656.82,2026-04-24,-0.06,486.39,2025-04-24,34.96,35.04,656.82,2026-04-24,-0.06,578.46,2026-03-30,13.48,13.55,656.82,2026-04-24,-0.06,356.27,2023-05-04,84.25,84.36
VTI,352.05,2026-04-24,352.37,2026-04-24,-0.09,310.4,2026-03-30,13.42,13.52,352.37,2026-04-24,-0.09,310.4,2026-03-30,13.42,13.52,352.37,2026-04-24,-0.09,310.4,2026-03-30,13.42,13.52,352.37,2026-04-24,-0.09,260.31,2025-04-24,35.24,35.36,352.37,2026-04-24,-0.09,310.4,2026-03-30,13.42,13.52,352.37,2026-04-24,-0.09,192.28,2023-05-04,83.09,83.26
SOXX,461.6,2026-04-24,463.87,2026-04-24,-0.49,307.26,2026-03-30,50.23,50.97,463.87,2026-04-24,-0.49,307.26,2026-03-30,50.23,50.97,463.87,2026-04-24,-0.49,259.9,2025-11-21,77.61,78.48,463.87,2026-04-24,-0.49,175.42,2025-04-24,163.14,164.44,463.87,2026-04-24,-0.49,307.26,2026-03-30,50.23,50.97,463.87,2026-04-24,-0.49,131.31,2023-05-04,251.53,253.25
