,當前價格,更新時間,H_1M,H_Date_1M,From_H_%_1M,L_1M,L_Date_1M,From_L_%_1M,Range_%_1M,H_3M,H_Date_3M,From_H_%_3M,L_3M,L_Date_3M,From_L_%_3M,Range_%_3M,H_6M,H_Date_6M,From_H_%_6M,L_6M,L_Date_6M,From_L_%_6M,Range_%_6M,H_1Y,H_Date_1Y,From_H_%_1Y,L_1Y,L_Date_1Y,From_L_%_1Y,Range_%_1Y,H_YTD,H_Date_YTD,From_H_%_YTD,L_YTD,L_Date_YTD,From_L_%_YTD,Range_%_YTD,H_3Y,H_Date_3Y,From_H_%_3Y,L_3Y,L_Date_3Y,From_L_%_3Y,Range_%_3Y
VT,158.53,2026-09-10,162.71,2026-08-14,-2.57,158.41,2026-09-10,0.08,2.71,162.71,2026-08-14,-2.57,151.69,2026-06-11,4.51,7.26,162.71,2026-08-14,-2.57,133.17,2026-03-30,19.04,22.18,162.71,2026-08-14,-2.57,132.62,2025-11-21,19.54,22.69,162.71,2026-08-14,-2.57,133.17,2026-03-30,19.04,22.18,162.71,2026-08-14,-2.57,84.13,2023-10-27,88.42,93.39
VOO,696.65,2026-09-10,716.39,2026-08-13,-2.76,695.54,2026-09-10,0.16,3.0,716.39,2026-08-13,-2.76,664.07,2026-06-11,4.91,7.88,716.39,2026-08-13,-2.76,576.78,2026-03-30,20.78,24.2,716.39,2026-08-13,-2.76,576.78,2026-03-30,20.78,24.2,716.39,2026-08-13,-2.76,576.78,2026-03-30,20.78,24.2,716.39,2026-08-13,-2.76,362.85,2023-10-27,91.99,97.43
VTI,373.24,2026-09-10,385.12,2026-08-13,-3.08,372.75,2026-09-10,0.13,3.32,385.12,2026-08-13,-3.08,356.72,2026-06-11,4.63,7.96,385.12,2026-08-13,-3.08,309.51,2026-03-30,20.59,24.43,385.12,2026-08-13,-3.08,309.51,2026-03-30,20.59,24.43,385.12,2026-08-13,-3.08,309.51,2026-03-30,20.59,24.43,385.12,2026-08-13,-3.08,195.33,2023-10-27,91.08,97.16
SOXX,517.43,2026-09-10,566.02,2026-08-17,-8.58,489.21,2026-09-03,5.77,15.7,655.95,2026-06-22,-21.12,464.08,2026-07-29,11.5,41.34,655.95,2026-06-22,-21.12,307.11,2026-03-30,68.48,113.59,655.95,2026-06-22,-21.12,250.69,2025-09-10,106.4,161.66,655.95,2026-06-22,-21.12,307.11,2026-03-30,68.48,113.59,655.95,2026-06-22,-21.12,142.06,2023-10-31,264.25,361.76
