,當前價格,更新時間,H_1M,H_Date_1M,From_H_%_1M,L_1M,L_Date_1M,From_L_%_1M,Range_%_1M,H_3M,H_Date_3M,From_H_%_3M,L_3M,L_Date_3M,From_L_%_3M,Range_%_3M,H_6M,H_Date_6M,From_H_%_6M,L_6M,L_Date_6M,From_L_%_6M,Range_%_6M,H_1Y,H_Date_1Y,From_H_%_1Y,L_1Y,L_Date_1Y,From_L_%_1Y,Range_%_1Y,H_YTD,H_Date_YTD,From_H_%_YTD,L_YTD,L_Date_YTD,From_L_%_YTD,Range_%_YTD,H_3Y,H_Date_3Y,From_H_%_3Y,L_3Y,L_Date_3Y,From_L_%_3Y,Range_%_3Y
VT,160.45,2026-08-04,160.78,2026-08-04,-0.21,152.13,2026-07-29,5.47,5.69,160.78,2026-08-04,-0.21,150.66,2026-06-09,6.5,6.72,160.78,2026-08-04,-0.21,133.17,2026-03-30,20.49,20.73,160.78,2026-08-04,-0.21,127.12,2025-08-04,26.22,26.48,160.78,2026-08-04,-0.21,133.17,2026-03-30,20.49,20.73,160.78,2026-08-04,-0.21,84.13,2023-10-27,90.71,91.1
VOO,708.98,2026-08-04,710.91,2026-08-04,-0.27,670.16,2026-07-29,5.79,6.08,710.91,2026-08-04,-0.27,661.4,2026-05-05,7.19,7.48,710.91,2026-08-04,-0.27,576.78,2026-03-30,22.92,23.25,710.91,2026-08-04,-0.27,568.37,2025-08-04,24.74,25.08,710.91,2026-08-04,-0.27,576.78,2026-03-30,22.92,23.25,710.91,2026-08-04,-0.27,362.85,2023-10-27,95.39,95.92
VTI,380.82,2026-08-04,381.74,2026-08-04,-0.24,360.2,2026-07-29,5.72,5.98,381.74,2026-08-04,-0.24,354.75,2026-05-05,7.35,7.61,381.74,2026-08-04,-0.24,309.51,2026-03-30,23.04,23.34,381.74,2026-08-04,-0.24,304.03,2025-08-04,25.26,25.56,381.74,2026-08-04,-0.24,309.51,2026-03-30,23.04,23.34,381.74,2026-08-04,-0.24,195.33,2023-10-27,94.96,95.43
SOXX,542.21,2026-08-04,594.99,2026-07-09,-8.87,464.08,2026-07-29,16.84,28.21,655.95,2026-06-22,-17.34,464.08,2026-07-29,16.84,41.34,655.95,2026-06-22,-17.34,307.11,2026-03-30,76.55,113.59,655.95,2026-06-22,-17.34,232.58,2025-08-06,133.12,182.03,655.95,2026-06-22,-17.34,307.11,2026-03-30,76.55,113.59,655.95,2026-06-22,-17.34,142.06,2023-10-31,281.69,361.76
