,當前價格,更新時間,H_1M,H_Date_1M,From_H_%_1M,L_1M,L_Date_1M,From_L_%_1M,Range_%_1M,H_3M,H_Date_3M,From_H_%_3M,L_3M,L_Date_3M,From_L_%_3M,Range_%_3M,H_6M,H_Date_6M,From_H_%_6M,L_6M,L_Date_6M,From_L_%_6M,Range_%_6M,H_1Y,H_Date_1Y,From_H_%_1Y,L_1Y,L_Date_1Y,From_L_%_1Y,Range_%_1Y,H_YTD,H_Date_YTD,From_H_%_YTD,L_YTD,L_Date_YTD,From_L_%_YTD,Range_%_YTD,H_3Y,H_Date_3Y,From_H_%_3Y,L_3Y,L_Date_3Y,From_L_%_3Y,Range_%_3Y
VT,160.3,2026-08-31,162.71,2026-08-14,-1.48,156.19,2026-08-03,2.63,4.17,162.71,2026-08-14,-1.48,150.66,2026-06-09,6.4,8.0,162.71,2026-08-14,-1.48,133.17,2026-03-30,20.38,22.18,162.71,2026-08-14,-1.48,129.62,2025-09-02,23.68,25.53,162.71,2026-08-14,-1.48,133.17,2026-03-30,20.38,22.18,162.71,2026-08-14,-1.48,84.13,2023-10-27,90.53,93.39
VOO,703.88,2026-08-31,716.39,2026-08-13,-1.75,688.61,2026-08-03,2.22,4.03,716.39,2026-08-13,-1.75,662.39,2026-06-09,6.26,8.15,716.39,2026-08-13,-1.75,576.78,2026-03-30,22.04,24.2,716.39,2026-08-13,-1.75,576.78,2026-03-30,22.04,24.2,716.39,2026-08-13,-1.75,576.78,2026-03-30,22.04,24.2,716.39,2026-08-13,-1.75,362.85,2023-10-27,93.99,97.43
VTI,377.45,2026-08-31,385.12,2026-08-13,-1.99,369.0,2026-08-03,2.29,4.37,385.12,2026-08-13,-1.99,355.26,2026-06-09,6.25,8.41,385.12,2026-08-13,-1.99,309.51,2026-03-30,21.95,24.43,385.12,2026-08-13,-1.99,309.51,2026-03-30,21.95,24.43,385.12,2026-08-13,-1.99,309.51,2026-03-30,21.95,24.43,385.12,2026-08-13,-1.99,195.33,2023-10-27,93.24,97.16
SOXX,509.4,2026-08-31,566.02,2026-08-17,-10.0,485.71,2026-08-03,4.88,16.53,655.95,2026-06-22,-22.34,464.08,2026-07-29,9.77,41.34,655.95,2026-06-22,-22.34,307.11,2026-03-30,65.87,113.59,655.95,2026-06-22,-22.34,237.04,2025-09-02,114.9,176.72,655.95,2026-06-22,-22.34,307.11,2026-03-30,65.87,113.59,655.95,2026-06-22,-22.34,142.06,2023-10-31,258.59,361.76
