,當前價格,更新時間,H_1M,H_Date_1M,From_H_%_1M,L_1M,L_Date_1M,From_L_%_1M,Range_%_1M,H_3M,H_Date_3M,From_H_%_3M,L_3M,L_Date_3M,From_L_%_3M,Range_%_3M,H_6M,H_Date_6M,From_H_%_6M,L_6M,L_Date_6M,From_L_%_6M,Range_%_6M,H_1Y,H_Date_1Y,From_H_%_1Y,L_1Y,L_Date_1Y,From_L_%_1Y,Range_%_1Y,H_YTD,H_Date_YTD,From_H_%_YTD,L_YTD,L_Date_YTD,From_L_%_YTD,Range_%_YTD,H_3Y,H_Date_3Y,From_H_%_3Y,L_3Y,L_Date_3Y,From_L_%_3Y,Range_%_3Y
VT,158.12,2026-05-29,158.53,2026-05-29,-0.26,149.4,2026-04-30,5.84,6.11,158.53,2026-05-29,-0.26,133.65,2026-03-30,18.31,18.62,158.53,2026-05-29,-0.26,133.65,2026-03-30,18.31,18.62,158.53,2026-05-29,-0.26,119.95,2025-05-30,31.82,32.16,158.53,2026-05-29,-0.26,133.65,2026-03-30,18.31,18.62,158.53,2026-05-29,-0.26,84.44,2023-10-27,87.26,87.75
VOO,695.49,2026-05-29,697.0,2026-05-29,-0.22,653.15,2026-04-30,6.48,6.71,697.0,2026-05-29,-0.22,578.46,2026-03-30,20.23,20.49,697.0,2026-05-29,-0.22,578.46,2026-03-30,20.23,20.49,697.0,2026-05-29,-0.22,529.81,2025-05-30,31.27,31.56,697.0,2026-05-29,-0.22,578.46,2026-03-30,20.23,20.49,697.0,2026-05-29,-0.22,363.91,2023-10-27,91.12,91.53
VTI,372.54,2026-05-29,373.13,2026-05-29,-0.16,350.02,2026-04-30,6.43,6.6,373.13,2026-05-29,-0.16,310.4,2026-03-30,20.02,20.21,373.13,2026-05-29,-0.16,310.4,2026-03-30,20.02,20.21,373.13,2026-05-29,-0.16,283.51,2025-05-30,31.4,31.61,373.13,2026-05-29,-0.16,310.4,2026-03-30,20.02,20.21,373.13,2026-05-29,-0.16,195.89,2023-10-27,90.18,90.48
SOXX,569.08,2026-05-29,584.5,2026-05-27,-2.64,449.34,2026-04-30,26.65,30.08,584.5,2026-05-27,-2.64,307.26,2026-03-30,85.21,90.23,584.5,2026-05-27,-2.64,284.25,2025-12-17,100.2,105.63,584.5,2026-05-27,-2.64,199.84,2025-05-30,184.76,192.48,584.5,2026-05-27,-2.64,307.26,2026-03-30,85.21,90.23,584.5,2026-05-27,-2.64,142.12,2023-10-31,300.41,311.26
