,當前價格,更新時間,H_1M,H_Date_1M,From_H_%_1M,L_1M,L_Date_1M,From_L_%_1M,Range_%_1M,H_3M,H_Date_3M,From_H_%_3M,L_3M,L_Date_3M,From_L_%_3M,Range_%_3M,H_6M,H_Date_6M,From_H_%_6M,L_6M,L_Date_6M,From_L_%_6M,Range_%_6M,H_1Y,H_Date_1Y,From_H_%_1Y,L_1Y,L_Date_1Y,From_L_%_1Y,Range_%_1Y,H_YTD,H_Date_YTD,From_H_%_YTD,L_YTD,L_Date_YTD,From_L_%_YTD,Range_%_YTD,H_3Y,H_Date_3Y,From_H_%_3Y,L_3Y,L_Date_3Y,From_L_%_3Y,Range_%_3Y
VT,160.99,2026-08-25,162.71,2026-08-14,-1.06,152.13,2026-07-29,5.82,6.95,162.71,2026-08-14,-1.06,150.66,2026-06-09,6.86,8.0,162.71,2026-08-14,-1.06,133.17,2026-03-30,20.89,22.18,162.71,2026-08-14,-1.06,129.62,2025-09-02,24.21,25.53,162.71,2026-08-14,-1.06,133.17,2026-03-30,20.89,22.18,162.71,2026-08-14,-1.06,84.13,2023-10-27,91.35,93.39
VOO,704.02,2026-08-25,716.39,2026-08-13,-1.73,670.16,2026-07-29,5.05,6.9,716.39,2026-08-13,-1.73,662.39,2026-06-09,6.28,8.15,716.39,2026-08-13,-1.73,576.78,2026-03-30,22.06,24.2,716.39,2026-08-13,-1.73,576.78,2026-03-30,22.06,24.2,716.39,2026-08-13,-1.73,576.78,2026-03-30,22.06,24.2,716.39,2026-08-13,-1.73,362.85,2023-10-27,94.03,97.43
VTI,378.15,2026-08-25,385.12,2026-08-13,-1.81,360.2,2026-07-29,4.98,6.92,385.12,2026-08-13,-1.81,355.26,2026-06-09,6.44,8.41,385.12,2026-08-13,-1.81,309.51,2026-03-30,22.18,24.43,385.12,2026-08-13,-1.81,309.51,2026-03-30,22.18,24.43,385.12,2026-08-13,-1.81,309.51,2026-03-30,22.18,24.43,385.12,2026-08-13,-1.81,195.33,2023-10-27,93.6,97.16
SOXX,514.06,2026-08-25,566.02,2026-08-17,-9.18,464.08,2026-07-29,10.77,21.97,655.95,2026-06-22,-21.63,464.08,2026-07-29,10.77,41.34,655.95,2026-06-22,-21.63,307.11,2026-03-30,67.38,113.59,655.95,2026-06-22,-21.63,237.04,2025-09-02,116.86,176.72,655.95,2026-06-22,-21.63,307.11,2026-03-30,67.38,113.59,655.95,2026-06-22,-21.63,142.06,2023-10-31,261.87,361.76
