,當前價格,更新時間,H_1M,H_Date_1M,From_H_%_1M,L_1M,L_Date_1M,From_L_%_1M,Range_%_1M,H_3M,H_Date_3M,From_H_%_3M,L_3M,L_Date_3M,From_L_%_3M,Range_%_3M,H_6M,H_Date_6M,From_H_%_6M,L_6M,L_Date_6M,From_L_%_6M,Range_%_6M,H_1Y,H_Date_1Y,From_H_%_1Y,L_1Y,L_Date_1Y,From_L_%_1Y,Range_%_1Y,H_YTD,H_Date_YTD,From_H_%_YTD,L_YTD,L_Date_YTD,From_L_%_YTD,Range_%_YTD,H_3Y,H_Date_3Y,From_H_%_3Y,L_3Y,L_Date_3Y,From_L_%_3Y,Range_%_3Y
VT,148.94,2026-04-29,151.44,2026-04-17,-1.65,135.43,2026-03-31,9.98,11.82,151.44,2026-04-17,-1.65,133.65,2026-03-30,11.44,13.31,151.44,2026-04-17,-1.65,133.1,2025-11-21,11.9,13.78,151.44,2026-04-17,-1.65,112.37,2025-04-30,32.54,34.76,151.44,2026-04-17,-1.65,133.65,2026-03-30,11.44,13.31,151.44,2026-04-17,-1.65,84.44,2023-10-27,76.39,79.35
VOO,654.24,2026-04-29,657.9,2026-04-27,-0.56,586.5,2026-03-31,11.55,12.17,657.9,2026-04-27,-0.56,578.46,2026-03-30,13.1,13.73,657.9,2026-04-27,-0.56,578.46,2026-03-30,13.1,13.73,657.9,2026-04-27,-0.56,491.86,2025-04-30,33.01,33.76,657.9,2026-04-27,-0.56,578.46,2026-03-30,13.1,13.73,657.9,2026-04-27,-0.56,356.27,2023-05-04,83.63,84.66
VTI,350.21,2026-04-29,352.81,2026-04-27,-0.74,314.75,2026-03-31,11.27,12.09,352.81,2026-04-27,-0.74,310.4,2026-03-30,12.83,13.66,352.81,2026-04-27,-0.74,310.4,2026-03-30,12.83,13.66,352.81,2026-04-27,-0.74,263.14,2025-04-30,33.09,34.08,352.81,2026-04-27,-0.74,310.4,2026-03-30,12.83,13.66,352.81,2026-04-27,-0.74,192.28,2023-05-04,82.13,83.49
SOXX,449.99,2026-04-29,463.87,2026-04-24,-2.99,314.88,2026-03-31,42.91,47.32,463.87,2026-04-24,-2.99,307.26,2026-03-30,46.45,50.97,463.87,2026-04-24,-2.99,259.9,2025-11-21,73.14,78.48,463.87,2026-04-24,-2.99,175.65,2025-04-30,156.19,164.09,463.87,2026-04-24,-2.99,307.26,2026-03-30,46.45,50.97,463.87,2026-04-24,-2.99,131.31,2023-05-04,242.68,253.25
