,當前價格,更新時間,H_1M,H_Date_1M,From_H_%_1M,L_1M,L_Date_1M,From_L_%_1M,Range_%_1M,H_3M,H_Date_3M,From_H_%_3M,L_3M,L_Date_3M,From_L_%_3M,Range_%_3M,H_6M,H_Date_6M,From_H_%_6M,L_6M,L_Date_6M,From_L_%_6M,Range_%_6M,H_1Y,H_Date_1Y,From_H_%_1Y,L_1Y,L_Date_1Y,From_L_%_1Y,Range_%_1Y,H_YTD,H_Date_YTD,From_H_%_YTD,L_YTD,L_Date_YTD,From_L_%_YTD,Range_%_YTD,H_3Y,H_Date_3Y,From_H_%_3Y,L_3Y,L_Date_3Y,From_L_%_3Y,Range_%_3Y
VT,138.6,2026-03-23,148.72,2026-02-26,-6.81,135.58,2026-03-20,2.23,9.69,148.72,2026-02-26,-6.81,135.58,2026-03-20,2.23,9.69,148.72,2026-02-26,-6.81,133.1,2025-11-21,4.13,11.74,148.72,2026-02-26,-6.81,99.03,2025-04-07,39.95,50.17,148.72,2026-02-26,-6.81,135.58,2026-03-20,2.23,9.69,148.72,2026-02-26,-6.81,83.69,2023-03-27,65.62,77.71
VOO,604.43,2026-03-23,638.0,2026-02-25,-5.26,594.57,2026-03-20,1.66,7.3,641.81,2026-01-28,-5.82,594.57,2026-03-20,1.66,7.95,641.81,2026-01-28,-5.82,594.57,2026-03-20,1.66,7.95,641.81,2026-01-28,-5.82,438.94,2025-04-07,37.7,46.22,641.81,2026-01-28,-5.82,594.57,2026-03-20,1.66,7.95,641.81,2026-01-28,-5.82,348.49,2023-03-28,73.44,84.17
VTI,324.19,2026-03-23,342.13,2026-02-25,-5.24,318.57,2026-03-20,1.76,7.4,344.42,2026-01-28,-5.87,318.57,2026-03-20,1.76,8.11,344.42,2026-01-28,-5.87,318.54,2025-11-21,1.77,8.13,344.42,2026-01-28,-5.87,234.39,2025-04-07,38.31,46.94,344.42,2026-01-28,-5.87,318.57,2026-03-20,1.76,8.11,344.42,2026-01-28,-5.87,188.97,2023-03-28,71.55,82.26
SOXX,336.59,2026-03-23,368.59,2026-02-25,-8.68,316.03,2026-03-09,6.51,16.63,368.59,2026-02-25,-8.68,294.32,2025-12-19,14.36,25.24,368.59,2026-02-25,-8.68,259.9,2025-11-21,29.51,41.82,368.59,2026-02-25,-8.68,147.37,2025-04-07,128.4,150.12,368.59,2026-02-25,-8.68,308.37,2026-01-02,9.15,19.53,368.59,2026-02-25,-8.68,128.82,2023-04-27,161.29,186.13
