,當前價格,更新時間,H_1M,H_Date_1M,From_H_%_1M,L_1M,L_Date_1M,From_L_%_1M,Range_%_1M,H_3M,H_Date_3M,From_H_%_3M,L_3M,L_Date_3M,From_L_%_3M,Range_%_3M,H_6M,H_Date_6M,From_H_%_6M,L_6M,L_Date_6M,From_L_%_6M,Range_%_6M,H_1Y,H_Date_1Y,From_H_%_1Y,L_1Y,L_Date_1Y,From_L_%_1Y,Range_%_1Y,H_YTD,H_Date_YTD,From_H_%_YTD,L_YTD,L_Date_YTD,From_L_%_YTD,Range_%_YTD,H_3Y,H_Date_3Y,From_H_%_3Y,L_3Y,L_Date_3Y,From_L_%_3Y,Range_%_3Y
VT,140.87,2026-03-09,149.07,2026-02-26,-5.5,139.35,2026-03-09,1.09,6.98,149.07,2026-02-26,-5.5,138.22,2025-12-17,1.91,7.85,149.07,2026-02-26,-5.5,133.17,2025-09-08,5.78,11.94,149.07,2026-02-26,-5.5,99.27,2025-04-07,41.91,50.17,149.07,2026-02-26,-5.5,139.35,2026-03-09,1.09,6.98,149.07,2026-02-26,-5.5,81.0,2023-03-15,73.92,84.05
VOO,614.86,2026-03-09,641.15,2026-02-11,-4.1,609.22,2026-03-09,0.93,5.24,641.81,2026-01-28,-4.2,609.22,2026-03-09,0.93,5.35,641.81,2026-01-28,-4.2,591.64,2025-09-09,3.92,8.48,641.81,2026-01-28,-4.2,438.94,2025-04-07,40.08,46.22,641.81,2026-01-28,-4.2,609.22,2026-03-09,0.93,5.35,641.81,2026-01-28,-4.2,335.63,2023-03-13,83.2,91.23
VTI,329.27,2026-03-09,344.3,2026-02-11,-4.37,326.13,2026-03-09,0.96,5.57,344.42,2026-01-28,-4.4,326.13,2026-03-09,0.96,5.61,344.42,2026-01-28,-4.4,317.66,2025-09-09,3.65,8.42,344.42,2026-01-28,-4.4,234.39,2025-04-07,40.48,46.94,344.42,2026-01-28,-4.4,326.13,2026-03-09,0.96,5.61,344.42,2026-01-28,-4.4,182.5,2023-03-13,80.42,88.73
