,當前價格,更新時間,H_1M,H_Date_1M,From_H_%_1M,L_1M,L_Date_1M,From_L_%_1M,Range_%_1M,H_3M,H_Date_3M,From_H_%_3M,L_3M,L_Date_3M,From_L_%_3M,Range_%_3M,H_6M,H_Date_6M,From_H_%_6M,L_6M,L_Date_6M,From_L_%_6M,Range_%_6M,H_1Y,H_Date_1Y,From_H_%_1Y,L_1Y,L_Date_1Y,From_L_%_1Y,Range_%_1Y,H_YTD,H_Date_YTD,From_H_%_YTD,L_YTD,L_Date_YTD,From_L_%_YTD,Range_%_YTD,H_3Y,H_Date_3Y,From_H_%_3Y,L_3Y,L_Date_3Y,From_L_%_3Y,Range_%_3Y
VT,156.17,2026-07-02,158.63,2026-06-15,-1.55,150.66,2026-06-09,3.66,5.29,158.84,2026-06-02,-1.68,136.49,2026-04-02,14.42,16.37,158.84,2026-06-02,-1.68,133.17,2026-03-30,17.27,19.27,158.84,2026-06-02,-1.68,125.59,2025-08-01,24.35,26.48,158.84,2026-06-02,-1.68,133.17,2026-03-30,17.27,19.27,158.84,2026-06-02,-1.68,84.13,2023-10-27,85.62,88.79
VOO,684.84,2026-07-02,695.62,2026-06-03,-1.55,662.39,2026-06-09,3.39,5.02,697.12,2026-06-02,-1.76,591.31,2026-04-02,15.82,17.89,697.12,2026-06-02,-1.76,576.78,2026-03-30,18.73,20.86,697.12,2026-06-02,-1.76,560.19,2025-07-02,22.25,24.44,697.12,2026-06-02,-1.76,576.78,2026-03-30,18.73,20.86,697.12,2026-06-02,-1.76,362.85,2023-10-27,88.74,92.12
VTI,368.76,2026-07-02,372.92,2026-06-04,-1.11,355.26,2026-06-09,3.8,4.97,373.63,2026-06-02,-1.3,317.32,2026-04-02,16.21,17.75,373.63,2026-06-02,-1.3,309.51,2026-03-30,19.14,20.72,373.63,2026-06-02,-1.3,300.01,2025-07-02,22.92,24.54,373.63,2026-06-02,-1.3,309.51,2026-03-30,19.14,20.72,373.63,2026-06-02,-1.3,195.33,2023-10-27,88.79,91.28
SOXX,566.32,2026-07-02,655.95,2026-06-22,-13.66,521.99,2026-06-09,8.49,25.66,655.95,2026-06-22,-13.66,324.88,2026-04-02,74.32,101.91,655.95,2026-06-22,-13.66,300.78,2025-12-31,88.28,118.08,655.95,2026-06-22,-13.66,231.25,2025-08-01,144.89,183.65,655.95,2026-06-22,-13.66,307.11,2026-03-30,84.4,113.59,655.95,2026-06-22,-13.66,142.06,2023-10-31,298.66,361.76
