,當前價格,更新時間,H_1M,H_Date_1M,From_H_%_1M,L_1M,L_Date_1M,From_L_%_1M,Range_%_1M,H_3M,H_Date_3M,From_H_%_3M,L_3M,L_Date_3M,From_L_%_3M,Range_%_3M,H_6M,H_Date_6M,From_H_%_6M,L_6M,L_Date_6M,From_L_%_6M,Range_%_6M,H_1Y,H_Date_1Y,From_H_%_1Y,L_1Y,L_Date_1Y,From_L_%_1Y,Range_%_1Y,H_YTD,H_Date_YTD,From_H_%_YTD,L_YTD,L_Date_YTD,From_L_%_YTD,Range_%_YTD,H_3Y,H_Date_3Y,From_H_%_3Y,L_3Y,L_Date_3Y,From_L_%_3Y,Range_%_3Y
VT,155.4,2026-05-13,155.63,2026-05-11,-0.15,147.7,2026-04-23,5.21,5.37,155.63,2026-05-11,-0.15,133.65,2026-03-30,16.27,16.45,155.63,2026-05-11,-0.15,133.1,2025-11-21,16.75,16.93,155.63,2026-05-11,-0.15,118.77,2025-05-23,30.84,31.03,155.63,2026-05-11,-0.15,133.65,2026-03-30,16.27,16.45,155.63,2026-05-11,-0.15,84.44,2023-10-27,84.04,84.31
VOO,682.41,2026-05-13,683.91,2026-05-13,-0.22,638.23,2026-04-15,6.92,7.16,683.91,2026-05-13,-0.22,578.46,2026-03-30,17.97,18.23,683.91,2026-05-13,-0.22,578.46,2026-03-30,17.97,18.23,683.91,2026-05-13,-0.22,522.84,2025-05-23,30.52,30.81,683.91,2026-05-13,-0.22,578.46,2026-03-30,17.97,18.23,683.91,2026-05-13,-0.22,361.7,2023-05-24,88.67,89.08
VTI,364.71,2026-05-13,365.4,2026-05-13,-0.19,342.61,2026-04-15,6.45,6.65,365.4,2026-05-13,-0.19,310.4,2026-03-30,17.5,17.72,365.4,2026-05-13,-0.19,310.4,2026-03-30,17.5,17.72,365.4,2026-05-13,-0.19,279.69,2025-05-23,30.4,30.64,365.4,2026-05-13,-0.19,310.4,2026-03-30,17.5,17.72,365.4,2026-05-13,-0.19,195.42,2023-05-16,86.63,86.98
SOXX,528.29,2026-05-13,533.74,2026-05-11,-1.02,392.39,2026-04-15,34.63,36.02,533.74,2026-05-11,-1.02,307.26,2026-03-30,71.94,73.71,533.74,2026-05-11,-1.02,259.9,2025-11-21,103.27,105.36,533.74,2026-05-11,-1.02,198.66,2025-05-23,165.93,168.67,533.74,2026-05-11,-1.02,307.26,2026-03-30,71.94,73.71,533.74,2026-05-11,-1.02,134.05,2023-05-15,294.11,298.18
