,當前價格,更新時間,H_1M,H_Date_1M,From_H_%_1M,L_1M,L_Date_1M,From_L_%_1M,Range_%_1M,H_3M,H_Date_3M,From_H_%_3M,L_3M,L_Date_3M,From_L_%_3M,Range_%_3M,H_6M,H_Date_6M,From_H_%_6M,L_6M,L_Date_6M,From_L_%_6M,Range_%_6M,H_1Y,H_Date_1Y,From_H_%_1Y,L_1Y,L_Date_1Y,From_L_%_1Y,Range_%_1Y,H_YTD,H_Date_YTD,From_H_%_YTD,L_YTD,L_Date_YTD,From_L_%_YTD,Range_%_YTD,H_3Y,H_Date_3Y,From_H_%_3Y,L_3Y,L_Date_3Y,From_L_%_3Y,Range_%_3Y
VT,156.34,2026-07-07,158.63,2026-06-15,-1.44,150.66,2026-06-09,3.77,5.29,158.84,2026-06-02,-1.57,137.79,2026-04-07,13.46,15.27,158.84,2026-06-02,-1.57,133.17,2026-03-30,17.4,19.27,158.84,2026-06-02,-1.57,125.59,2025-08-01,24.49,26.48,158.84,2026-06-02,-1.57,133.17,2026-03-30,17.4,19.27,158.84,2026-06-02,-1.57,84.13,2023-10-27,85.82,88.79
VOO,687.08,2026-07-07,693.73,2026-06-15,-0.96,662.39,2026-06-09,3.73,4.73,697.12,2026-06-02,-1.44,596.76,2026-04-07,15.13,16.82,697.12,2026-06-02,-1.44,576.78,2026-03-30,19.12,20.86,697.12,2026-06-02,-1.44,561.35,2025-07-07,22.4,24.19,697.12,2026-06-02,-1.44,576.78,2026-03-30,19.12,20.86,697.12,2026-06-02,-1.44,362.85,2023-10-27,89.36,92.12
VTI,369.61,2026-07-07,372.57,2026-06-15,-0.79,355.26,2026-06-09,4.04,4.87,373.63,2026-06-02,-1.07,320.55,2026-04-07,15.31,16.56,373.63,2026-06-02,-1.07,309.51,2026-03-30,19.42,20.72,373.63,2026-06-02,-1.07,300.49,2025-07-16,23.0,24.34,373.63,2026-06-02,-1.07,309.51,2026-03-30,19.42,20.72,373.63,2026-06-02,-1.07,195.33,2023-10-27,89.22,91.28
SOXX,551.69,2026-07-07,655.95,2026-06-22,-15.89,521.99,2026-06-09,5.69,25.66,655.95,2026-06-22,-15.89,338.31,2026-04-07,63.07,93.89,655.95,2026-06-22,-15.89,307.11,2026-03-30,79.64,113.59,655.95,2026-06-22,-15.89,231.25,2025-08-01,138.57,183.65,655.95,2026-06-22,-15.89,307.11,2026-03-30,79.64,113.59,655.95,2026-06-22,-15.89,142.06,2023-10-31,288.36,361.76
