,當前價格,更新時間,H_1M,H_Date_1M,From_H_%_1M,L_1M,L_Date_1M,From_L_%_1M,Range_%_1M,H_3M,H_Date_3M,From_H_%_3M,L_3M,L_Date_3M,From_L_%_3M,Range_%_3M,H_6M,H_Date_6M,From_H_%_6M,L_6M,L_Date_6M,From_L_%_6M,Range_%_6M,H_1Y,H_Date_1Y,From_H_%_1Y,L_1Y,L_Date_1Y,From_L_%_1Y,Range_%_1Y,H_YTD,H_Date_YTD,From_H_%_YTD,L_YTD,L_Date_YTD,From_L_%_YTD,Range_%_YTD,H_3Y,H_Date_3Y,From_H_%_3Y,L_3Y,L_Date_3Y,From_L_%_3Y,Range_%_3Y
VT,,2026-06-09,159.41,2026-06-02,,152.03,2026-05-19,,4.85,159.41,2026-06-02,,133.65,2026-03-30,,19.27,159.41,2026-06-02,,133.65,2026-03-30,,19.27,159.41,2026-06-02,,121.5,2025-06-23,,31.2,159.41,2026-06-02,,133.65,2026-03-30,,19.27,159.41,2026-06-02,,84.44,2023-10-27,,88.79
VOO,,2026-06-09,699.15,2026-06-02,,672.55,2026-05-19,,3.96,699.15,2026-06-02,,578.46,2026-03-30,,20.86,699.15,2026-06-02,,578.46,2026-03-30,,20.86,699.15,2026-06-02,,539.29,2025-06-23,,29.64,699.15,2026-06-02,,578.46,2026-03-30,,20.86,699.15,2026-06-02,,363.91,2023-10-27,,92.12
VTI,,2026-06-09,374.7,2026-06-02,,358.8,2026-05-19,,4.43,374.7,2026-06-02,,310.4,2026-03-30,,20.72,374.7,2026-06-02,,310.4,2026-03-30,,20.72,374.7,2026-06-02,,288.56,2025-06-23,,29.85,374.7,2026-06-02,,310.4,2026-03-30,,20.72,374.7,2026-06-02,,195.89,2023-10-27,,91.28
SOXX,,2026-06-09,618.84,2026-06-03,,477.95,2026-05-19,,29.48,618.84,2026-06-03,,307.26,2026-03-30,,101.41,618.84,2026-06-03,,284.25,2025-12-17,,117.71,618.84,2026-06-03,,217.74,2025-06-09,,184.21,618.84,2026-06-03,,307.26,2026-03-30,,101.41,618.84,2026-06-03,,142.12,2023-10-31,,335.43
