,當前價格,更新時間,H_1M,H_Date_1M,From_H_%_1M,L_1M,L_Date_1M,From_L_%_1M,Range_%_1M,H_3M,H_Date_3M,From_H_%_3M,L_3M,L_Date_3M,From_L_%_3M,Range_%_3M,H_6M,H_Date_6M,From_H_%_6M,L_6M,L_Date_6M,From_L_%_6M,Range_%_6M,H_1Y,H_Date_1Y,From_H_%_1Y,L_1Y,L_Date_1Y,From_L_%_1Y,Range_%_1Y,H_YTD,H_Date_YTD,From_H_%_YTD,L_YTD,L_Date_YTD,From_L_%_YTD,Range_%_YTD,H_3Y,H_Date_3Y,From_H_%_3Y,L_3Y,L_Date_3Y,From_L_%_3Y,Range_%_3Y
VT,160.82,2026-08-11,162.0,2026-08-05,-0.73,152.13,2026-07-29,5.71,6.49,162.0,2026-08-05,-0.73,150.66,2026-06-09,6.75,7.53,162.0,2026-08-05,-0.73,133.17,2026-03-30,20.76,21.65,162.0,2026-08-05,-0.73,129.0,2025-08-11,24.67,25.59,162.0,2026-08-05,-0.73,133.17,2026-03-30,20.76,21.65,162.0,2026-08-05,-0.73,84.13,2023-10-27,91.15,92.55
VOO,708.42,2026-08-11,714.16,2026-08-05,-0.8,670.16,2026-07-29,5.71,6.57,714.16,2026-08-05,-0.8,662.39,2026-06-09,6.95,7.82,714.16,2026-08-05,-0.8,576.78,2026-03-30,22.82,23.82,714.16,2026-08-05,-0.8,575.06,2025-08-20,23.19,24.19,714.16,2026-08-05,-0.8,576.78,2026-03-30,22.82,23.82,714.16,2026-08-05,-0.8,362.85,2023-10-27,95.24,96.82
VTI,380.65,2026-08-11,383.29,2026-08-05,-0.69,360.2,2026-07-29,5.68,6.41,383.29,2026-08-05,-0.69,355.26,2026-06-09,7.15,7.89,383.29,2026-08-05,-0.69,309.51,2026-03-30,22.98,23.84,383.29,2026-08-05,-0.69,307.65,2025-08-20,23.73,24.59,383.29,2026-08-05,-0.69,309.51,2026-03-30,22.98,23.84,383.29,2026-08-05,-0.69,195.33,2023-10-27,94.88,96.23
SOXX,534.2,2026-08-11,580.67,2026-07-14,-8.0,464.08,2026-07-29,15.11,25.12,655.95,2026-06-22,-18.56,464.08,2026-07-29,15.11,41.34,655.95,2026-06-22,-18.56,307.11,2026-03-30,73.94,113.59,655.95,2026-06-22,-18.56,236.0,2025-08-20,126.36,177.95,655.95,2026-06-22,-18.56,307.11,2026-03-30,73.94,113.59,655.95,2026-06-22,-18.56,142.06,2023-10-31,276.05,361.76
