,當前價格,更新時間,H_1M,H_Date_1M,From_H_%_1M,L_1M,L_Date_1M,From_L_%_1M,Range_%_1M,H_3M,H_Date_3M,From_H_%_3M,L_3M,L_Date_3M,From_L_%_3M,Range_%_3M,H_6M,H_Date_6M,From_H_%_6M,L_6M,L_Date_6M,From_L_%_6M,Range_%_6M,H_1Y,H_Date_1Y,From_H_%_1Y,L_1Y,L_Date_1Y,From_L_%_1Y,Range_%_1Y,H_YTD,H_Date_YTD,From_H_%_YTD,L_YTD,L_Date_YTD,From_L_%_YTD,Range_%_YTD,H_3Y,H_Date_3Y,From_H_%_3Y,L_3Y,L_Date_3Y,From_L_%_3Y,Range_%_3Y
VT,141.05,2026-03-09,149.07,2026-02-26,-5.38,139.35,2026-03-09,1.22,6.98,149.07,2026-02-26,-5.38,138.22,2025-12-17,2.04,7.85,149.07,2026-02-26,-5.38,133.17,2025-09-08,5.92,11.94,149.07,2026-02-26,-5.38,99.27,2025-04-07,42.09,50.17,149.07,2026-02-26,-5.38,139.35,2026-03-09,1.22,6.98,149.07,2026-02-26,-5.38,81.0,2023-03-15,74.15,84.05
VOO,615.26,2026-03-09,641.15,2026-02-11,-4.04,609.22,2026-03-09,0.99,5.24,641.81,2026-01-28,-4.14,609.22,2026-03-09,0.99,5.35,641.81,2026-01-28,-4.14,591.64,2025-09-09,3.99,8.48,641.81,2026-01-28,-4.14,438.94,2025-04-07,40.17,46.22,641.81,2026-01-28,-4.14,609.22,2026-03-09,0.99,5.35,641.81,2026-01-28,-4.14,335.63,2023-03-13,83.32,91.23
VTI,329.48,2026-03-09,344.3,2026-02-11,-4.3,326.13,2026-03-09,1.03,5.57,344.42,2026-01-28,-4.34,326.13,2026-03-09,1.03,5.61,344.42,2026-01-28,-4.34,317.66,2025-09-09,3.72,8.42,344.42,2026-01-28,-4.34,234.39,2025-04-07,40.57,46.94,344.42,2026-01-28,-4.34,326.13,2026-03-09,1.03,5.61,344.42,2026-01-28,-4.34,182.5,2023-03-13,80.54,88.73
