,當前價格,更新時間,H_1M,H_Date_1M,From_H_%_1M,L_1M,L_Date_1M,From_L_%_1M,Range_%_1M,H_3M,H_Date_3M,From_H_%_3M,L_3M,L_Date_3M,From_L_%_3M,Range_%_3M,H_6M,H_Date_6M,From_H_%_6M,L_6M,L_Date_6M,From_L_%_6M,Range_%_6M,H_1Y,H_Date_1Y,From_H_%_1Y,L_1Y,L_Date_1Y,From_L_%_1Y,Range_%_1Y,H_YTD,H_Date_YTD,From_H_%_YTD,L_YTD,L_Date_YTD,From_L_%_YTD,Range_%_YTD,H_3Y,H_Date_3Y,From_H_%_3Y,L_3Y,L_Date_3Y,From_L_%_3Y,Range_%_3Y
VT,143.22,2026-03-10,149.07,2026-02-26,-3.92,139.35,2026-03-09,2.78,6.98,149.07,2026-02-26,-3.92,138.22,2025-12-17,3.61,7.85,149.07,2026-02-26,-3.92,133.22,2025-09-09,7.51,11.9,149.07,2026-02-26,-3.92,99.27,2025-04-07,44.28,50.17,149.07,2026-02-26,-3.92,139.35,2026-03-09,2.78,6.98,149.07,2026-02-26,-3.92,81.0,2023-03-15,76.82,84.05
VOO,622.72,2026-03-10,641.15,2026-02-11,-2.87,609.2,2026-03-09,2.22,5.24,641.81,2026-01-28,-2.97,609.2,2026-03-09,2.22,5.35,641.81,2026-01-28,-2.97,591.64,2025-09-09,5.25,8.48,641.81,2026-01-28,-2.97,438.94,2025-04-07,41.87,46.22,641.81,2026-01-28,-2.97,609.2,2026-03-09,2.22,5.35,641.81,2026-01-28,-2.97,335.63,2023-03-13,85.54,91.23
VTI,333.51,2026-03-10,344.3,2026-02-11,-3.13,326.13,2026-03-09,2.26,5.57,344.42,2026-01-28,-3.17,326.13,2026-03-09,2.26,5.61,344.42,2026-01-28,-3.17,317.66,2025-09-09,4.99,8.42,344.42,2026-01-28,-3.17,234.39,2025-04-07,42.29,46.94,344.42,2026-01-28,-3.17,326.13,2026-03-09,2.26,5.61,344.42,2026-01-28,-3.17,182.5,2023-03-13,82.75,88.73
SOXX,338.81,2026-03-10,368.82,2026-02-25,-8.14,316.22,2026-03-09,7.14,16.63,368.82,2026-02-25,-8.14,284.43,2025-12-17,19.12,29.67,368.82,2026-02-25,-8.14,246.35,2025-09-09,37.53,49.71,368.82,2026-02-25,-8.14,147.46,2025-04-07,129.77,150.12,368.82,2026-02-25,-8.14,308.56,2026-01-02,9.8,19.53,368.82,2026-02-25,-8.14,128.9,2023-04-27,162.85,186.13
