,當前價格,更新時間,H_1M,H_Date_1M,From_H_%_1M,L_1M,L_Date_1M,From_L_%_1M,Range_%_1M,H_3M,H_Date_3M,From_H_%_3M,L_3M,L_Date_3M,From_L_%_3M,Range_%_3M,H_6M,H_Date_6M,From_H_%_6M,L_6M,L_Date_6M,From_L_%_6M,Range_%_6M,H_1Y,H_Date_1Y,From_H_%_1Y,L_1Y,L_Date_1Y,From_L_%_1Y,Range_%_1Y,H_YTD,H_Date_YTD,From_H_%_YTD,L_YTD,L_Date_YTD,From_L_%_YTD,Range_%_YTD,H_3Y,H_Date_3Y,From_H_%_3Y,L_3Y,L_Date_3Y,From_L_%_3Y,Range_%_3Y
VT,157.56,2026-06-22,158.84,2026-06-02,-0.8,150.66,2026-06-09,4.58,5.43,158.84,2026-06-02,-0.8,133.17,2026-03-30,18.32,19.27,158.84,2026-06-02,-0.8,133.17,2026-03-30,18.32,19.27,158.84,2026-06-02,-0.8,121.07,2025-06-23,30.14,31.2,158.84,2026-06-02,-0.8,133.17,2026-03-30,18.32,19.27,158.84,2026-06-02,-0.8,84.13,2023-10-27,87.27,88.79
VOO,686.1,2026-06-22,699.15,2026-06-02,-1.87,664.32,2026-06-09,3.28,5.24,699.15,2026-06-02,-1.87,578.46,2026-03-30,18.61,20.86,699.15,2026-06-02,-1.87,578.46,2026-03-30,18.61,20.86,699.15,2026-06-02,-1.87,539.29,2025-06-23,27.22,29.64,699.15,2026-06-02,-1.87,578.46,2026-03-30,18.61,20.86,699.15,2026-06-02,-1.87,363.91,2023-10-27,88.54,92.12
VTI,368.81,2026-06-22,374.7,2026-06-02,-1.57,356.28,2026-06-09,3.52,5.17,374.7,2026-06-02,-1.57,310.4,2026-03-30,18.82,20.72,374.7,2026-06-02,-1.57,310.4,2026-03-30,18.82,20.72,374.7,2026-06-02,-1.57,288.56,2025-06-23,27.81,29.85,374.7,2026-06-02,-1.57,310.4,2026-03-30,18.82,20.72,374.7,2026-06-02,-1.57,195.89,2023-10-27,88.27,91.28
SOXX,655.01,2026-06-22,655.95,2026-06-22,-0.14,514.76,2026-05-21,27.25,27.43,655.95,2026-06-22,-0.14,307.11,2026-03-30,113.28,113.59,655.95,2026-06-22,-0.14,290.52,2025-12-18,125.46,125.78,655.95,2026-06-22,-0.14,220.83,2025-06-23,196.61,197.04,655.95,2026-06-22,-0.14,307.11,2026-03-30,113.28,113.59,655.95,2026-06-22,-0.14,142.06,2023-10-31,361.09,361.76
