,當前價格,更新時間,H_1M,H_Date_1M,From_H_%_1M,L_1M,L_Date_1M,From_L_%_1M,Range_%_1M,H_3M,H_Date_3M,From_H_%_3M,L_3M,L_Date_3M,From_L_%_3M,Range_%_3M,H_6M,H_Date_6M,From_H_%_6M,L_6M,L_Date_6M,From_L_%_6M,Range_%_6M,H_1Y,H_Date_1Y,From_H_%_1Y,L_1Y,L_Date_1Y,From_L_%_1Y,Range_%_1Y,H_YTD,H_Date_YTD,From_H_%_YTD,L_YTD,L_Date_YTD,From_L_%_YTD,Range_%_YTD,H_3Y,H_Date_3Y,From_H_%_3Y,L_3Y,L_Date_3Y,From_L_%_3Y,Range_%_3Y
VT,146.4,2026-04-13,146.46,2026-04-13,-0.04,133.65,2026-03-30,9.54,9.58,148.72,2026-02-26,-1.56,133.65,2026-03-30,9.54,11.28,148.72,2026-02-26,-1.56,133.1,2025-11-21,9.99,11.74,148.72,2026-02-26,-1.56,104.11,2025-04-10,40.62,42.85,148.72,2026-02-26,-1.56,133.65,2026-03-30,9.54,11.28,148.72,2026-02-26,-1.56,84.44,2023-10-27,73.38,76.13
VOO,630.72,2026-04-13,630.9,2026-04-13,-0.03,578.46,2026-03-30,9.03,9.07,639.79,2026-01-28,-1.42,578.46,2026-03-30,9.03,10.6,639.79,2026-01-28,-1.42,578.46,2026-03-30,9.03,10.6,639.79,2026-01-28,-1.42,461.79,2025-04-21,36.58,38.54,639.79,2026-01-28,-1.42,578.46,2026-03-30,9.03,10.6,639.79,2026-01-28,-1.42,356.27,2023-05-04,77.03,79.58
VTI,338.67,2026-04-13,338.74,2026-04-13,-0.02,310.4,2026-03-30,9.11,9.13,343.34,2026-01-28,-1.36,310.4,2026-03-30,9.11,10.61,343.34,2026-01-28,-1.36,310.4,2026-03-30,9.11,10.61,343.34,2026-01-28,-1.36,246.97,2025-04-10,37.13,39.02,343.34,2026-01-28,-1.36,310.4,2026-03-30,9.11,10.61,343.34,2026-01-28,-1.36,192.28,2023-05-04,76.13,78.56
SOXX,393.34,2026-04-13,393.57,2026-04-13,-0.06,307.26,2026-03-30,28.02,28.09,393.57,2026-04-13,-0.06,307.26,2026-03-30,28.02,28.09,393.57,2026-04-13,-0.06,259.9,2025-11-21,51.34,51.43,393.57,2026-04-13,-0.06,159.24,2025-04-21,147.01,147.15,393.57,2026-04-13,-0.06,307.26,2026-03-30,28.02,28.09,393.57,2026-04-13,-0.06,128.82,2023-04-27,205.34,205.52
