,當前價格,更新時間,H_1M,H_Date_1M,From_H_%_1M,L_1M,L_Date_1M,From_L_%_1M,Range_%_1M,H_3M,H_Date_3M,From_H_%_3M,L_3M,L_Date_3M,From_L_%_3M,Range_%_3M,H_6M,H_Date_6M,From_H_%_6M,L_6M,L_Date_6M,From_L_%_6M,Range_%_6M,H_1Y,H_Date_1Y,From_H_%_1Y,L_1Y,L_Date_1Y,From_L_%_1Y,Range_%_1Y,H_YTD,H_Date_YTD,From_H_%_YTD,L_YTD,L_Date_YTD,From_L_%_YTD,Range_%_YTD,H_3Y,H_Date_3Y,From_H_%_3Y,L_3Y,L_Date_3Y,From_L_%_3Y,Range_%_3Y
VT,160.7,2026-08-19,162.71,2026-08-14,-1.24,152.13,2026-07-29,5.63,6.95,162.71,2026-08-14,-1.24,150.66,2026-06-09,6.67,8.0,162.71,2026-08-14,-1.24,133.17,2026-03-30,20.67,22.18,162.71,2026-08-14,-1.24,129.59,2025-08-20,24.01,25.56,162.71,2026-08-14,-1.24,133.17,2026-03-30,20.67,22.18,162.71,2026-08-14,-1.24,84.13,2023-10-27,91.0,93.39
VOO,706.91,2026-08-19,716.39,2026-08-13,-1.32,670.16,2026-07-29,5.48,6.9,716.39,2026-08-13,-1.32,662.39,2026-06-09,6.72,8.15,716.39,2026-08-13,-1.32,576.78,2026-03-30,22.56,24.2,716.39,2026-08-13,-1.32,575.06,2025-08-20,22.93,24.58,716.39,2026-08-13,-1.32,576.78,2026-03-30,22.56,24.2,716.39,2026-08-13,-1.32,362.85,2023-10-27,94.82,97.43
VTI,379.99,2026-08-19,385.12,2026-08-13,-1.33,360.2,2026-07-29,5.49,6.92,385.12,2026-08-13,-1.33,355.26,2026-06-09,6.96,8.41,385.12,2026-08-13,-1.33,309.51,2026-03-30,22.77,24.43,385.12,2026-08-13,-1.33,307.65,2025-08-20,23.51,25.18,385.12,2026-08-13,-1.33,309.51,2026-03-30,22.77,24.43,385.12,2026-08-13,-1.33,195.33,2023-10-27,94.54,97.16
SOXX,519.67,2026-08-19,566.02,2026-08-17,-8.19,464.08,2026-07-29,11.98,21.97,655.95,2026-06-22,-20.78,464.08,2026-07-29,11.98,41.34,655.95,2026-06-22,-20.78,307.11,2026-03-30,69.21,113.59,655.95,2026-06-22,-20.78,236.0,2025-08-20,120.2,177.95,655.95,2026-06-22,-20.78,307.11,2026-03-30,69.21,113.59,655.95,2026-06-22,-20.78,142.06,2023-10-31,265.82,361.76
